
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2026-06-25T20:25:49Z,,18.34533853456378,-64.692497625946999,18.345679342746735,-64.691491965204477,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,
,,1,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050001.JPG,
,,2,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050002.JPG,
,,3,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050003.JPG,
,,4,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050004.JPG,
,,5,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050005.JPG,
,,6,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050006.JPG,
,,7,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050007.JPG,
,,8,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050008.JPG,
,,9,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050009.JPG,
,,10,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050010.JPG,
,,11,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050011.JPG,
,,12,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050012.JPG,
,,13,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050013.JPG,
,,14,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050014.JPG,
,,15,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050015.JPG,
,,16,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050016.JPG,
,,17,,,,,,,/Users/margofarley/Library/Application%20Support/Garmin/BaseCamp/GeotaggedPhotos/P2050017.JPG,
